transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-2aab7ff9-a131-4579-9a02-7898a723d751,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-14,313.0547666286657,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-c1d2ac40-1753-43a9-979a-ea7fc43e2e25,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-15,103.99140675116473,QuickFuel #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-ef126a9a-7ac6-4b73-89ae-42861b052ede,acct-bccd6f51-c480-4eee-86b6-95c11e266927,2025-05-21,21.25833588199118,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-bb5d4b50-1d21-4d41-a75e-adee0919de03,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-22,325.1434742861726,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-075334c7-149b-4151-92fb-5e3caed92236,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-22,127.83942733063702,RideShareCo #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-73542423-0110-4a44-8c9a-cf0a8eccfb8b,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-22,70.97233165704685,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-541aa93b-dac0-4522-82df-0f51ccc4d663,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-27,55.45059810545046,RideShareCo #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-6cb0e35d-1e52-4d47-aa9a-4def4a9e83e0,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-05-28,99.5358229772198,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-ab6e0240-926e-4988-9312-39ed0265113f,acct-bccd6f51-c480-4eee-86b6-95c11e266927,2025-05-28,122.03629468308692,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-8a6ac56e-ecfa-498f-91f0-24f84a7bcc6c,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-06-01,337.57382319091937,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-24304dc1-c227-4b93-be3d-b02d9525d6ea,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-06-02,202.8426106812975,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-c92c3068-f978-4e4c-a58f-382f0bfc1a2f,acct-6b369152-4167-412b-af93-0cd7e2c3c7a2,2025-06-03,287.8849828382917,MobileCarrier #2,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-aa1700ee-0811-4feb-9b29-9c4c5b6001f9,acct-bccd6f51-c480-4eee-86b6-95c11e266927,2025-06-04,248.42317934727618,PayUtilities #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
