transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-16f62791-5ecb-414f-9350-e186a842301e,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-08,-7510.186048618341,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-cc8efe46-b17b-4018-87c8-6611b3d7cd51,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-08,62.498877492092845,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-09138a23-15fe-437a-8de7-e8f2af61f7e6,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-12,-5605.641809303934,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-51f4d93c-ca8a-481c-9b40-fda0610ec839,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-05-12,165.55456095251958,CityMall Clothing #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-2c3af3e4-9954-42ec-b756-5b92c39245c7,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-05-15,84.53803101440802,ToyHouse #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-c7871039-a873-4bcd-b8a4-4812235d77b1,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-16,-6757.333206240395,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-677d0eab-d271-426c-9777-fd141a7b49ba,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-21,1891.148767754349,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-6b8a43f4-86ba-4701-9876-5a2626bdf5a3,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-05-21,55.32474118387335,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-7da4f555-a294-4283-9b06-344ca871e191,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-23,132.49528516080335,SubscriptionBox #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-749047df-75e7-41b2-bc46-ae433d4f84a6,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-05-29,174.99004114125867,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-24867635-3cba-4c5c-81b3-75be5e17b1fe,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-06-03,120.76140226972049,DiscountOutlets #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-8e0be750-b342-4291-9dec-b45a4c045b64,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-06-05,171.9860648612273,OnlineMart #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-a848b75f-8450-4ec9-b92d-c5cc6f4dd48d,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-08,196.02355855973792,eBookStore #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-f00c477e-8e8f-4a57-86ac-c0bd04a5eb7c,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-09,83.14359570147478,eBookStore #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-588cb25c-58aa-4016-86f5-574698d37f86,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-19,52.214094372088525,CityMall Clothing #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-7e94cafc-a6e0-44b7-8ffb-10b9bb37b896,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-20,639.9631541528959,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-cb023046-bcc0-4991-a44b-cd4bdb008eb0,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-28,141.80082263557182,eBookStore #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-2adce806-1028-4198-a89a-41c4617937ab,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-29,-5022.27800705273,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b540844d-99cc-4d3f-a25a-30631f474b43,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-29,816.94145401554,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-cde5f403-8c05-4b5a-8741-67dc5d5c8f2e,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-06-30,1452.8075502894922,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-3014e88a-b36a-4c67-8d00-53bf0c8109e9,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-07-02,88.15278904149228,CraftsOnline #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-071f50a4-2c98-4162-92a0-4ba226c6eded,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-07-06,1221.945227713808,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-47873e51-c735-4c91-a0cd-5a0ab24cd09d,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-07-10,163.533679608662,OnlineMart #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-d67968cf-e9d1-4f8c-8786-a4050fdacb9a,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-07-10,116.95829576697095,CraftsOnline #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-e195c099-c1f0-4c63-b6f8-11d1ab13bdb2,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-07-13,146.36645956199013,ElectroHub #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-da651941-80af-49ee-851f-750d18d92a0a,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-07-16,178.18959300598607,ToyHouse #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-b8763234-3b5e-4f9b-8a77-01f3f0b379dd,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-07-22,-5781.1294142962315,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d1fc2def-a9b7-4ae6-b14c-947e2b188fc4,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-07-27,1484.1164527510925,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-b9f3728c-f878-4c90-8088-7d8f4b953d44,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-07-31,145.86937400205815,DiscountOutlets #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-50f7e43f-7447-4718-b5a1-db87a8be7e40,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-08-02,-6627.014906804712,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-9243a76a-71cd-46c2-af43-4c8caf50df14,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-03,52.08791406629462,OfficeSupply Co #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-8e28b297-8962-462a-af03-0fddccebf063,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-04,64.44093505381154,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-c8ab0cf3-b5d6-4407-b83a-ec0b938d778b,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-08-06,133.16103110010312,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fd9385f8-04c8-47df-b22c-bbde9cb7b857,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-10,59.48515634863932,ToyHouse #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-289ddc18-d87d-47d4-8248-a3f70c82766c,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-08-11,-6122.81582634786,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-90cb68ca-baea-40e0-a47c-3ec1cc9f3693,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-08-14,152.03858413982445,LuxuryBoutique #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-053020f5-66e8-41c3-8688-9b0609545d94,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-21,116.93329371669073,OnlineMart #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-aa15a0ec-e95a-4d25-8a16-2d649bf627c1,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-23,158.73112452848562,CraftsOnline #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-dfe3ee2c-3d40-4b42-9013-4f04ede2ccc7,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-08-25,1810.102711934123,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-2699b06b-7f39-466e-9860-75a3e5b25594,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-27,175.91666904369748,PetWorld #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-4eaf4293-daf3-429c-ab77-0a37dd69953a,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-28,105.92230497480912,HardwarePro #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-47b07756-da13-46e2-95e7-fb2a765492dc,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-08-29,111.87327725706413,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-87f18802-ecc4-42c5-be8d-ff539290099a,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-30,52.973363702194455,PetWorld #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-4c290ef4-6dc8-4535-b0af-080d8ce530cb,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-08-31,68.6131973466731,ElectroHub #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-f0b5635e-df53-4d63-913d-5dc51fa108e1,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-01,179.58879656274058,PetWorld #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-4bca2f66-659c-409c-b5a0-6890f4ae9933,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-03,874.8554719698252,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-86e94427-ce2e-4e92-86cb-eb98750b9168,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-05,-7442.839511708935,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-88c6f8d9-f901-47a4-b2f1-b8de8ac40f84,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-09-05,163.00453961377363,PetWorld #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-9a7816df-dd47-4335-9d89-a668e2cd8f76,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-08,116.58595446432398,GardenCenter #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-5fab17e5-71ec-4777-8779-60c6ac89c642,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-12,179.44106416045528,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fd63df9d-ea0f-4524-8792-635ae7ad1fde,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-14,-5104.252349985398,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3303de16-ccb1-4c96-ac13-448bffb22e0a,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-17,1124.1557333536066,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-45f41784-29fc-441c-b334-50b13db9c907,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-09-19,1365.9251845809285,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-c6c95895-d5a6-4571-89a7-49db71138652,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-10-04,101.45673986274011,CraftsOnline #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-84a0e14e-27a2-477f-a65f-bcf8fc96604f,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-10-07,102.22118453749721,FurnitureCo #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-f575a465-b2a4-43ca-b6d6-6b4fd1405452,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-10-08,103.42666129801808,ToyHouse #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-ada83d35-1837-4c88-b2da-ea9dc818d4db,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-10-10,167.67120681224583,ToyHouse #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-b5478b24-771d-46a6-8692-99be515a5c0b,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-10-11,78.59200319015,ToyHouse #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-f81d191c-4e68-47c3-b363-ac6f9c2aaab2,acct-7b0c87e8-8153-467d-b4e1-0db6994f92dc,2025-10-12,113.93405254926996,FurnitureCo #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-9c43ccde-2b36-4982-bfb3-3dc3829f1baf,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-10-15,675.2540038473312,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-72802936-9007-4af6-b9ab-eba652b280f7,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-10-16,156.88488838780637,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-8a6ecf06-e149-46eb-9199-9dda99b5931e,acct-f59f7890-a310-4a7f-8bda-938d17193c48,2025-10-17,1239.4776909388117,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
