transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-c320a6b3-970c-49c3-85b6-e3704c049c78,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-09,331.8913736900847,ElectroHub #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-bfe99545-48df-4529-a91b-56b5401dc10e,acct-da0d01de-ed55-4f65-b34a-65d99ab01360,2025-05-09,46.10670596875388,QuickFuel #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-9b791050-9085-4e4b-8b86-5205a187953f,acct-da0d01de-ed55-4f65-b34a-65d99ab01360,2025-05-09,16.844440161409693,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-bdf12c3b-61b9-4864-9e9f-106da4316fce,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-09,332.5778754157526,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-0cc15b8a-c3d6-48cb-96d3-4d62c42c7157,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-10,139.67864100880124,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fa126c51-f2af-474f-9a92-d079186e1082,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-11,114.99548888942098,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-992b2bb5-55b8-4103-8029-61581cb8cd88,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-11,258.28329445175126,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0a171005-d8a8-4921-9c0d-cef98dfcd76f,acct-da0d01de-ed55-4f65-b34a-65d99ab01360,2025-05-12,289.03093804540174,SubscriptionBox #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-57dc6be6-739e-434f-a669-d23ad45642e8,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-13,59.141339512553856,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ff065bd3-8c65-4574-ae79-93ee8561e0af,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-14,65.22743163592435,eBookStore #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-9726a36b-b9d7-425d-9fcf-fdaa88af1b0d,acct-530d5d71-e97c-4bac-903e-2efd3ce18535,2025-05-15,172.63657147009692,ConcertHall #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-333d1dce-711a-41c6-9b99-dee7fdf16d67,acct-da0d01de-ed55-4f65-b34a-65d99ab01360,2025-05-15,54.74955761495491,MovieRentals #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-d3d19d6f-1ce1-4f69-8848-db2058130c75,acct-da0d01de-ed55-4f65-b34a-65d99ab01360,2025-05-15,97.26197632225653,QuickFuel #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-8974449b-75ea-4210-964c-088fb54073ab,acct-da0d01de-ed55-4f65-b34a-65d99ab01360,2025-05-16,155.9474912028152,ConcertHall #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
