transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ad4588f0-6af4-42ff-9a38-ba408216af13,acct-d88c84c9-bb12-469f-9bb6-e334ededb1c9,2025-05-07,97.05274343607869,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-8f6d2f25-768e-4088-9f03-56b56e0c5ed8,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-07,111.34812492802955,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-822aa76f-06d5-44c3-add0-381e414e0ee9,acct-d88c84c9-bb12-469f-9bb6-e334ededb1c9,2025-05-08,132.57450711166183,QuickFuel #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-2b87f531-7a83-45f1-9e08-90466848880e,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-09,265.42887911734545,MobileCarrier #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-271cef1b-5cc2-4a97-bf08-72621c9734d4,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-13,-1954.2171650451414,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-92ecb24c-5f03-44e8-809f-196fb76ef333,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-13,170.90016927829788,MobileCarrier #4,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-c34f0432-d2f2-4c62-899f-35fe6805d7cf,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-15,171.98039683862933,MobileCarrier #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-feeab692-21dc-4edb-9a88-2a9a3c7e0550,acct-d88c84c9-bb12-469f-9bb6-e334ededb1c9,2025-05-17,121.12440708878005,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-50c88fe9-03e9-416a-b7ec-0b746c7802ae,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-17,121.58382118472589,ParkingLot Inc #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-86936455-2205-4659-bbf3-b0f436ff1786,acct-d88c84c9-bb12-469f-9bb6-e334ededb1c9,2025-05-19,37.798065175339104,ParkingLot Inc #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-6560b169-92d9-40e1-b0a9-17cb73a6d422,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-20,85.05338602756046,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-81e0a3f4-6f8d-4ffa-9d7a-32d43bc919fe,acct-1e1a0564-9741-4ed9-966f-723035e63b87,2025-05-22,117.8073427032104,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-f91c1e6e-a8a3-4532-912a-add8fd8655e3,acct-d88c84c9-bb12-469f-9bb6-e334ededb1c9,2025-05-25,132.8321378554195,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
