transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-87bff3ae-7578-4ecd-828b-2bd94e2586bd,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-05-08,-5780.080954953508,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a649a67a-2d2a-4bac-b912-a878995650ee,acct-41b49291-8c00-4e4c-a3ad-41e1dac1be03,2025-05-21,164.83469286873114,FurnitureCo #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-7483b3a2-5baa-4f88-81da-993485a403f9,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-05-24,-6184.316485446445,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c16428f8-b252-4015-8a85-dabe683c8898,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-05-26,149.69144686306646,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-62e49035-3e57-4590-a051-67716323a390,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-05-28,115.09085963923056,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-1cde8e90-6177-45c3-8aa4-b5447dc09e38,acct-41b49291-8c00-4e4c-a3ad-41e1dac1be03,2025-05-31,149.44455746618343,CraftsOnline #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-65024b0d-0e53-4ca1-b385-69840d96466a,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-03,-6579.097685115369,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d380be50-c1ee-4131-acbb-28cad93140a6,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-03,632.8681290083188,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-0bda29d3-8d2a-4849-a79f-e54a6364cffa,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-05,-5139.467396301167,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6417568f-f722-4916-9246-5a7058a73b45,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-09,1267.53086543352,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-27641f22-3ac9-48e3-92e4-bd80cc3df26d,acct-41b49291-8c00-4e4c-a3ad-41e1dac1be03,2025-06-09,90.01000666785073,PetWorld #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-347bab8c-d8ce-4f01-8093-61429791e291,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-16,142.98477793081753,OnlineMart #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-e6bc3e27-235d-45c2-a9ef-a8870fb73824,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-17,-5427.487252272634,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-36cb20ee-3cf7-49a9-8c28-a772baf241a6,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-17,88.89308229350277,SubscriptionBox #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-d865b630-4769-42dc-b996-2418f17f50d4,acct-41b49291-8c00-4e4c-a3ad-41e1dac1be03,2025-06-27,156.18892395512472,BookBarn #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-fe620089-ff9a-478c-8e9a-18ce5d4151f3,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-06-29,183.52802673089954,OfficeSupply Co #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-69e3a88e-9f21-4e5c-9f33-5edb291fc19c,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-07-01,805.2488938700259,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-28d63edf-ac62-4b4f-88c1-d359b895a462,acct-41b49291-8c00-4e4c-a3ad-41e1dac1be03,2025-07-01,67.64496318162156,GardenCenter #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-f5f7bb32-67c6-4a2e-9305-91afcaf39492,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-07-01,64.5190048440628,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c3c4d0b7-0a92-4c48-b242-d74622ee75b8,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-07-06,51.78634594408532,BookBarn #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-c8268ee9-a2a1-4740-bd58-31ab445f6d67,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-07-09,99.2147262372581,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0101a2e6-cf42-402c-ba36-44c4ca951efd,acct-832a6800-82c7-4a4a-8a1f-bd7662d52a08,2025-07-10,-7395.083962301955,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
