transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-9fec2d9e-4c66-492c-9862-49dbb1d610e3,acct-6ce730d2-16e5-4616-b307-336c84a3cbec,2025-05-08,1894.9317058666563,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-84b4fb1a-2f0b-4718-9d5e-af8decc52628,acct-6ce730d2-16e5-4616-b307-336c84a3cbec,2025-05-13,-5215.426088119204,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c75b9b93-84cf-48b3-966c-ec2b1a5f6733,acct-030bb205-7df7-48fc-bef0-297ede1405f1,2025-05-13,78.69228282803215,OfficeSupply Co #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-1cf72c10-af9d-4167-8418-faeb165d6dbe,acct-030bb205-7df7-48fc-bef0-297ede1405f1,2025-05-27,95.37381104616986,DiscountOutlets #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-13dac5d5-1eab-49c5-9c7a-372b3f1423c6,acct-030bb205-7df7-48fc-bef0-297ede1405f1,2025-05-28,87.31780913811356,PetWorld #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-3ca4386f-843d-4286-b3b0-ac086ebcee5e,acct-6ce730d2-16e5-4616-b307-336c84a3cbec,2025-06-06,169.16171954251848,ToyHouse #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-47060bc1-558f-44e2-85c2-43c252a00835,acct-6ce730d2-16e5-4616-b307-336c84a3cbec,2025-06-09,1375.103568306255,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-2bb5bb35-14d0-4412-98be-7a0655821941,acct-030bb205-7df7-48fc-bef0-297ede1405f1,2025-06-09,143.1087587077187,OnlineMart #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-f886a9eb-f4ba-4b38-bad3-69d787dfba7e,acct-030bb205-7df7-48fc-bef0-297ede1405f1,2025-06-10,193.73919203156476,CityMall Clothing #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-641147f4-3060-4493-8e05-d53748834129,acct-030bb205-7df7-48fc-bef0-297ede1405f1,2025-06-10,178.41222355833472,OfficeSupply Co #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
