transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-223539e2-2852-42b5-8011-ee4c4d7fd464,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-05-11,198.46746464317874,BikeShop #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-6da46fb3-b803-426c-be7c-235c154f9c18,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-05-12,154.5443938865049,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e84d76a0-a5ea-49c7-8030-220de0a32fb2,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-05-19,520.9920100447259,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-29f13225-1a25-4b1e-87a4-1913a124aeab,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-05-23,170.51567336390775,HardwarePro #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-0da107c5-71d8-43da-b0b6-0d1db74762bd,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-05-24,199.37025709514657,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-6a94d558-26c5-46ea-95cd-5b87a3bbd8cc,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-06-02,67.7874300268993,DiscountOutlets #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-6a295406-4896-4b38-aa2c-4edd2b8ba69e,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-07,982.4040013596955,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-bbc3e8be-496a-4409-9dc2-988b717a87c9,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-15,-6203.161047070338,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-bb2df59d-a0f0-4e9f-b0cf-ec99444a6d86,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-16,-7935.942735000024,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-98b2b35d-f15b-4b94-bfad-050704d11297,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-06-17,128.52035861036774,HardwarePro #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-cfb20601-d52c-4b17-9fa6-c01d5ec0333d,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-06-17,174.4298904838417,PetWorld #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-01f02804-4da2-4141-8b0a-9123a6cb11cc,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-19,102.97523270139342,CityMall Clothing #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-1d810c3d-5820-40b1-a06c-b0efda2f7c08,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-06-21,178.2155414121757,ElectroHub #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-ca8f8680-2660-472d-b010-5a0e7648aaa9,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-24,-5984.104352567691,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f4d6b800-7201-464a-ac59-b00edccb2c2e,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-25,67.11911349745547,ElectroHub #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-020bb7e3-3b29-4d4b-9d93-58431b551be2,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-29,157.77281625806637,SubscriptionBox #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-6484a35d-d552-4567-bb8f-6eb8795044b5,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-30,-5497.466560434146,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-5db099c2-1445-4be4-a186-7f00e7a5c68b,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-06-30,67.66237243652796,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-f9aa941f-b667-43ea-8ab0-ea6a4fd93824,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-01,160.74035308257308,LuxuryBoutique #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-34177a85-9608-49ed-98e3-874305575565,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-01,196.2275825251466,eBookStore #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-c9561d05-93dc-43b1-9106-aa64dba6e110,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-04,190.3918962566993,SubscriptionBox #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-fdd6978d-c10f-4fd8-971d-4b6911adcae5,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-04,113.19671477147968,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-c30b4bbf-5ac3-4c9e-a006-27e3e55f15f5,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-08,1417.0186442332692,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-e7edd5e8-cb86-4964-87e7-48eefb73bddf,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-11,127.79047889242841,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-a1e34f36-88ca-45aa-a267-5f7cc8f973c6,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-11,198.52753580090976,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0b73e356-4f4d-4eef-83d3-c754ceacf583,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-14,152.99349345685124,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d6a4e830-a2f2-4d91-8055-511a094bb28c,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-15,113.40419281733563,OfficeSupply Co #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-bf202107-8dc7-47ce-8de7-d81ec3b16b95,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-16,1954.7946185578214,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-285b5465-f0b3-4dc7-b79a-25051d786b67,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-17,199.6946654557028,CraftsOnline #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-768a0e12-41f9-4c34-ab80-c7fb06c098e2,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-17,143.1124036673924,eBookStore #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-5a859703-309f-420e-be75-c7499bcb9425,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-18,1363.3444056250532,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-aa5d7f70-7924-49cf-adc3-5b2767abd1e7,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-20,-5055.787855586672,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b6dce050-99ba-4c66-b1eb-9101831adcfb,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-26,168.01574161140172,OfficeSupply Co #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-dd874d12-70b3-441f-8471-4a4366b79b7b,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-27,128.85476237502405,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-3cf7b6cd-5139-4b40-96a5-306f2bb1e9f6,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-28,843.3143658702727,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-e12d9bfe-00f3-41e7-82d6-48b591ac019d,acct-ab481482-642e-4286-ac96-62ef506557ac,2025-07-30,1119.2100061929846,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-236a4daf-f3ed-424d-8546-d8e8602cd6b5,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-30,190.28833794963822,FurnitureCo #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-02020901-09d5-4d5d-9a1e-3b45bbe2093d,acct-bc2c1d2f-c956-46c0-8c98-26a1b58001d5,2025-07-30,154.50622921645112,OfficeSupply Co #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
