transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-d9914f3d-6416-4ca7-9903-b4c96fbb7a28,acct-39730aa2-2b9d-44c8-a1e5-1a2ed3534299,2025-05-11,160.39096332042493,CityMall Clothing #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-d4a2a84d-9eaa-471f-9bbf-4fb924a22550,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-05-12,157.5254015372334,OfficeSupply Co #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-faa1e600-4ba2-4f5b-a548-e7e1c04ef4b7,acct-39730aa2-2b9d-44c8-a1e5-1a2ed3534299,2025-05-14,83.20120904878087,CityMall Clothing #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-fdeaf016-7b6e-4162-b6d2-67e0112e4136,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-05-18,1396.8821745797072,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-331436e1-851f-403b-8231-84607a6aea06,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-05-22,105.65156099325739,OnlineMart #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-50ce04a4-9fa2-43b2-b89e-f5ee1f5cf0ce,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-05-22,177.95414265016532,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-7e724471-acba-415c-a3bf-515f7ead7e27,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-05-27,114.30373111762633,GardenCenter #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-888114b3-fe36-4b26-b31a-82a8fe9623db,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-05-27,174.82558525274044,OnlineMart #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-c63e5a23-8247-4512-95fb-2a71f9cf73ca,acct-39730aa2-2b9d-44c8-a1e5-1a2ed3534299,2025-05-28,66.9188928031422,FurnitureCo #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-d75ad75c-5957-476a-88bd-dac779d364f1,acct-39730aa2-2b9d-44c8-a1e5-1a2ed3534299,2025-05-28,91.90987170839077,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-fe26185a-59ec-4a7f-a0c4-92972f250c39,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-02,169.22442465997037,DiscountOutlets #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-0aea4b69-03a6-456c-9d1a-c8bf5ac9f779,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-05,159.04510192818742,OnlineMart #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-590d6434-cf6b-48f4-89d3-fbd75994267a,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-10,-7826.887136028798,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-148b1089-19aa-4330-a2b9-b279ebcf8e34,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-13,189.5091669130717,ElectroHub #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-c0c19fa7-aad8-4ee6-b8cd-f4e89901d1ae,acct-39730aa2-2b9d-44c8-a1e5-1a2ed3534299,2025-06-13,110.97234617219041,CityMall Clothing #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-efeb8926-85b0-4fe7-956e-c74dc5752d9c,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-14,172.56159013167542,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-3d34b675-6469-4702-8903-293605e2015c,acct-39730aa2-2b9d-44c8-a1e5-1a2ed3534299,2025-06-15,68.71618901185602,PetWorld #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-9362f61a-ca30-401e-8247-c4a6112fdc75,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-19,1495.3340616150244,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-7d8ed59d-0bde-4de0-8b39-cc1bd1a139fb,acct-e2446064-7a7a-40c1-af85-d635c4cb1d07,2025-06-21,-5224.899568390123,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
