transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ca662c3a-ec77-4f65-8d2f-3997b9bd56ab,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-07,366.42186374688123,BikeShop #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-d2134c16-dcf1-462a-bd1c-2f42a94d048a,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-07,188.75692231025607,SubscriptionBox #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-58406fdd-d66b-4b95-8db1-c9d38b531079,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-07,69.62743426734156,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-efe2dca1-97ef-46ad-abd0-ea34bd7e8148,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-07,78.31679780018106,CityTransit #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-64510244-7a86-4234-9cb4-52aff92bd5f5,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-08,442.63029582643986,SubscriptionBox #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-b5543023-0e1b-4b87-b34d-6722b1eda66e,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-09,380.1463517490704,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fbc1cdb5-9f47-4adc-9e59-d9fb5198407d,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-11,118.71433376197882,ConcertHall #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-f9c04d6b-36d9-4979-95dd-516d0d0c680d,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-11,65.93366810124174,ParkingLot Inc #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-0ce1fc93-2754-49cf-88b5-ba01aa6187ef,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-11,711.7202872745988,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-8a39abe5-201c-41af-ab11-239fdab827a6,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-12,91.722270339944,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-b8072e08-8638-4726-8fc1-3be88513c53a,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-12,48.29538862585322,QuickFuel #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-cf946edf-0b77-4fbb-8417-01e8d4ff2aa2,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-14,86.65150969413543,OnlineMart #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-2ed3165f-6c2a-4869-bd43-16ee50390f77,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-14,177.92213069289608,ToyHouse #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-d80e8b2b-4912-4519-bd91-1222fc0424a3,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-15,71.74551575024516,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-5fd82444-bb0b-4197-826f-ec9f15cb227c,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-16,330.8037656489697,CityMall Clothing #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-346af542-2830-46da-8fc9-bba200999296,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-16,479.5464696380888,SubscriptionBox #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-0aa523ec-ac75-423e-b352-9a8a2741daa9,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-16,495.34321290304325,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d55edea5-6456-4d4c-99c3-b6a98a195010,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-17,269.2596521666452,HomeGoods Store #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-da0fcb5e-0845-4157-8031-b19903903f7b,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-17,64.95274734139792,ParkingLot Inc #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-a50f6c4c-fd28-4faf-8d4a-1937a347bd63,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-18,26.03662745748202,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-ff12574d-e70f-445b-8972-a1f3709883d0,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-19,111.79754344644651,LuxuryBoutique #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-a15596aa-da38-4e2b-adc1-b76f0c0ecc55,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-22,172.86453519260178,ConcertHall #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-35e82679-cf04-4374-8906-ca7a97b74b5d,acct-75c4409c-7ce6-4caf-8ce1-e52a777b8c99,2025-05-23,32.98920142259314,ConcertHall #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-5efe67eb-bdff-4407-ad46-9d85d7972569,acct-44ac1449-3de5-40f3-92be-b5645e32b3ab,2025-05-23,184.61328312595663,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
