transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-62795f5b-e888-4330-948b-c1a9a16b9312,acct-76812a08-b507-4411-881e-647b889b9eda,2025-05-08,29.463717428575784,StreamingMusic #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-bb77e8ac-4d35-461e-9f48-bdce92018592,acct-76812a08-b507-4411-881e-647b889b9eda,2025-05-14,13.720888504917816,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-736072ed-900a-493f-ae04-47eea2738de7,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-05-15,21.124060107415275,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c6485c50-2aa2-4a4d-a11a-5422819b6ebc,acct-76812a08-b507-4411-881e-647b889b9eda,2025-05-15,1156.8737382438944,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-47e29395-e0d1-4187-9e09-3f3c2ea3f7f5,acct-76812a08-b507-4411-881e-647b889b9eda,2025-05-17,-5062.239207017394,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-0624e7b6-f2ad-4019-b767-8c876330f45f,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-05-20,23.2246392767684,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2dfefbc8-13bf-4e9d-9914-2fa90be18e8c,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-05-27,24.78524119645,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-1fe5800d-826d-4290-ab33-e4cc1d5e6ec8,acct-76812a08-b507-4411-881e-647b889b9eda,2025-06-09,13.391385107777566,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-47c971b7-5717-4d0b-82f4-9e46554fcb55,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-06-10,19.424966239085066,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8f89cb7b-3ac0-4481-a36d-c20a8116853b,acct-76812a08-b507-4411-881e-647b889b9eda,2025-06-21,18.389827226385528,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e820b1d6-5f3c-4159-b053-c5e9b4ae80ad,acct-76812a08-b507-4411-881e-647b889b9eda,2025-06-30,21.566554610192945,StreamingMusic #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8910627e-c897-4370-a91a-441857ca967b,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-01,29.712366664730464,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-05c9a2f1-ab0f-42a0-b884-5dc80e8f5fd3,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-02,-5441.539345369026,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-9f68acf7-6177-41c7-b1af-3d44810927ef,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-03,-4652.343172954482,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c8dcbe44-7567-4b17-b684-3424a3ea6386,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-07-12,18.659417163838558,StreamFlix #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-230f6e70-47af-41bf-a210-2bed4f11b329,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-24,25.592295908234945,StreamingMusic #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-5ec4281b-65aa-4e95-9d2f-4651c6bff501,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-24,17.812848716820138,StreamFlix #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-49ac6022-a472-484e-8b2b-8c0b17299145,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-07-26,18.235737830876992,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-058e149a-44c9-40d4-9938-0c578a627a59,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-28,-4037.1803652507188,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-95ecebfa-a0a8-4a93-9d51-19a59d5fcc90,acct-76812a08-b507-4411-881e-647b889b9eda,2025-07-30,24.020353050254457,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b261e063-8b20-4f6e-bfc6-041b65d42903,acct-76812a08-b507-4411-881e-647b889b9eda,2025-08-04,29.36856129584841,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-aee1ffc8-93e0-4b42-a864-f7e2128b344e,acct-76812a08-b507-4411-881e-647b889b9eda,2025-08-06,10.318967524512637,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-3896b852-8ec5-4d26-9485-d201960f65e9,acct-76812a08-b507-4411-881e-647b889b9eda,2025-08-15,-4404.379986133974,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-50c6444a-181f-45a9-9d41-a31bbc0b2369,acct-76812a08-b507-4411-881e-647b889b9eda,2025-08-23,917.3881972013264,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c8d8c4c4-fcef-4aaa-a9b4-84201bbdfa8f,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-09-02,27.966114713080064,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f1067c61-9570-4ce6-8674-b0a1e8780e06,acct-76812a08-b507-4411-881e-647b889b9eda,2025-09-09,-5970.219644960926,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-385d00c1-9330-456a-9384-2d9a471689f8,acct-76812a08-b507-4411-881e-647b889b9eda,2025-09-09,24.302683673798633,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f8b453c2-5122-46ef-bf81-f2dee3659368,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-09-15,26.479378254353612,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c303956f-0f81-4b8f-8854-8e82648bfc38,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-09-17,13.467086576782386,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-736362e4-8124-44da-9abb-38edd1fd2cc2,acct-c1c82387-78e3-4958-92da-8d82b90dedd8,2025-09-17,14.098379750104364,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c148e493-7538-4671-909e-3827b21736e9,acct-76812a08-b507-4411-881e-647b889b9eda,2025-09-22,10.22214552583055,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-02259612-7e1f-4939-bd68-861279ab39e3,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-04,775.6184094041996,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-5cdc8ae5-09ee-41aa-b1d9-389a7a3ff804,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-08,-4881.687426650828,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e97af8cb-2884-4a01-8eef-72d1a9890a4d,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-23,-4040.494730899325,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b53b1f34-f5af-4dc6-aeed-9e2a8a18eda6,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-24,946.5743235776698,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fb823f11-1e13-4205-babb-4b3778347931,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-25,-4095.4901443009126,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c8621a53-eec8-43c2-ad26-39dffa20e646,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-25,509.2253279608386,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-4713279e-e44e-475f-ba75-9605b9d800e7,acct-76812a08-b507-4411-881e-647b889b9eda,2025-10-25,1285.9552260348737,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
