transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ba1fbc79-000f-4574-a20d-9deac3dfd5da,acct-d8e5db22-e498-4747-99fc-ab8d58d943a9,2025-05-07,143.0959824955704,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-71f6481c-9dc9-45ee-bed3-44222f91ceb3,acct-a9bf973c-bc8e-4c89-add8-6c89f06d8d17,2025-05-09,273.95414540623426,OnlineMart #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-a10676fe-728b-40e8-a9eb-32b153598a54,acct-d8e5db22-e498-4747-99fc-ab8d58d943a9,2025-05-11,-4161.755576013748,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-47547306-3a0e-41d7-a778-bf093b1dcadf,acct-a9bf973c-bc8e-4c89-add8-6c89f06d8d17,2025-05-11,35.91549553488585,OnlineMart #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-27377606-e722-4870-8728-9bf3d609305d,acct-d8e5db22-e498-4747-99fc-ab8d58d943a9,2025-05-11,126.20231491975447,CloudStorage #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-2e0b5b0b-f162-4680-ae9a-11efde29387c,acct-d8e5db22-e498-4747-99fc-ab8d58d943a9,2025-05-11,50.32331708635449,RideShareCo #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-0026f167-1c99-4267-8a75-92fa567ed763,acct-a9bf973c-bc8e-4c89-add8-6c89f06d8d17,2025-05-12,130.74085697579227,MovieRentals #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-25af006c-06b4-454c-81ab-f783e45e4dd5,acct-a9bf973c-bc8e-4c89-add8-6c89f06d8d17,2025-05-13,25.03376357957024,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-0ba41abc-56de-40fe-b852-acdeb5e4c213,acct-d8e5db22-e498-4747-99fc-ab8d58d943a9,2025-05-13,87.26258885398434,RideShareCo #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-f293b666-c8c4-4527-b0e4-f54f75535a78,acct-d8e5db22-e498-4747-99fc-ab8d58d943a9,2025-05-18,-4861.130659422226,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
