transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-cf563063-39fb-4060-a440-6332fdb05f9b,acct-80d86751-a238-4ee3-983e-34b44a051301,2025-05-15,10.615830863458157,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-bb5d9003-0c59-4961-b6ba-d951f85c38d3,acct-80d86751-a238-4ee3-983e-34b44a051301,2025-05-20,14.69132014311661,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-43a6238a-da73-41f5-9b50-ce32110da923,acct-80d86751-a238-4ee3-983e-34b44a051301,2025-05-23,26.44027587436334,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2fb1bfe0-1263-4356-aeef-bbea99d58165,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-05-26,28.896483360877593,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-65f8dc62-3465-4e1e-b0ce-9af275951569,acct-80d86751-a238-4ee3-983e-34b44a051301,2025-05-28,24.857863520954318,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-98ae49b8-dcd8-46c8-8c77-815045aae43c,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-05-30,10.341843308199119,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-21f1281d-2ffb-404f-960e-d0de0a1e9416,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-06-06,535.3014252291306,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ca51b9da-1bfe-410e-9caa-a2e00b478233,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-06-10,-5054.6900729110575,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e0920a71-11ca-4cfa-9e6a-eef6cc0ec800,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-06-24,1406.822495290165,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d654260b-9285-4262-b7d1-2e6838852d2a,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-07-01,854.318512529194,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-4d4a56bb-e190-46bc-afd9-8319cf3e2472,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-07-02,29.781051252329807,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7ca389d4-b2ad-4a3c-acd2-100a7cff2e73,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-07-05,25.605213807157476,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8bb5a5aa-f0c9-466c-bc7d-10aa820670eb,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-07-17,24.125250852530623,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2b9abe15-2bae-4813-8f3c-ded9d48f3c14,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-07-30,19.605001692562638,StreamFlix #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-eb924975-77f4-4ff8-bae4-8082fcc365cc,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-08-01,961.5646091281635,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-073fa322-71ae-492e-9dfd-2b4c169f13d9,acct-80d86751-a238-4ee3-983e-34b44a051301,2025-08-05,28.465296202351567,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d735d364-077f-4194-a8d1-3556cfbbe360,acct-80d86751-a238-4ee3-983e-34b44a051301,2025-08-06,27.544700595154936,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-28cb8ee8-22d8-4e03-94bc-208ebc8f24fd,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-08-08,25.151966415198217,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e91d73b0-b412-4c2e-97b0-8659d10b2311,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-08-16,-5074.918563151959,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3b2a53ef-5f49-48f7-b7a7-8bbb1075e9d7,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-08-22,26.261726573916377,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-997df14d-663a-43f4-8ed2-19e1d22a0dd4,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-08-30,21.381474793648845,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-63adc135-b22b-4218-a649-de977866df65,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-09-03,-4670.571274519429,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-0582a188-3a30-4071-8b74-68fdce495a5a,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-09-03,12.408603940151695,StreamFlix #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e2cc5a76-f00f-4017-ba5b-981bc162b7ab,acct-612d399a-b537-4f39-822a-f8aac4a066b4,2025-09-04,12.769194358753408,StreamingMusic #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
