transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-c7fde9ca-4a05-4392-bf8a-80b3d2b69896,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-08,287.9105627442595,SubscriptionBox #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-36ad5017-e179-4438-b62f-264ce5526df9,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-08,288.7565118265479,PetWorld #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-664d31bc-96f0-41b3-a212-6a8268649668,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-09,20.8554947840315,BikeShop #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-7c294eb6-e964-4d45-b19d-349fc304f155,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-09,119.13018870600253,FreshBites #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-76d2769b-d262-4344-ade0-7dfa307811b2,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-10,76.47850212960593,BeerBarn #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-d0c28438-ba16-47e7-97a0-95c227fe94ad,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-11,49.54096003757223,CityMall Clothing #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-2bff2e36-8514-47b3-ac55-44c15001cedc,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-13,208.881783466157,OnlineMart #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-ed72745d-052d-4ee2-bb5a-fd3b6119d8b3,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-13,148.2798175081042,StarBite Cafe #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-d9d43e6c-bfad-48ff-aa61-f2b51c4588ce,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-17,134.87398830244172,FreshBites #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-336a9bf7-3807-4bf9-bb9d-812ad4c4a6ff,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-18,127.97046996396247,StarBite Cafe #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-c051871c-4000-4e8d-9e7a-5dd021263f4c,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-18,99.46518154183924,BeerBarn #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-384d4b02-433a-4d49-a42e-9cb1161a8b24,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-19,132.0614369294026,LocalBakery #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-60b0cc1a-6a10-46ef-a932-df41a043eabb,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-20,135.4410229647082,HomeGoods Store #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-8d302808-93ae-4053-8711-1a30dd178128,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-20,13.513722241152252,FreshBites #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-bf5ec780-5fdb-4a62-adf5-278279182aca,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-21,110.08430279831296,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-5b92b301-5a12-4dbc-b473-afc6b9d904bf,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-22,99.8555043270837,LocalBakery #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-161b359a-f1a9-4c93-a3a6-a99cb975ad5b,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-23,144.8819836470811,FreshBites #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-a6938487-9c88-446b-b9d9-f139880ef92e,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-24,132.9928682182641,FreshBites #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-52ac1c17-ca3f-47b4-99b6-8b8fb6ea8e05,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-27,43.451289519369496,HardwarePro #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-fdb58e42-ffe4-4019-975f-f28c7e5a8bd8,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-29,136.234810776102,BeerBarn #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-dabb686c-0c29-483a-824d-558881636985,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-30,64.3929997518774,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-810b6ca7-fda7-4957-b975-64a99bdfef0d,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-30,19.006326115552447,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-d57ccd3e-b262-4170-937a-efb4dac18a42,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-05-30,38.01315055918326,LocalBakery #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-e13e84a9-aa66-485f-8ff0-9165086af61c,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-31,215.09891741592799,SubscriptionBox #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-b8735acd-3a56-422f-9c01-7ab2dcdd8a03,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-05-31,46.3577456613548,FreshBites #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-18ea562e-5ef3-4b11-bdc3-7fd84f30e59f,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-02,287.37638697056286,SubscriptionBox #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-0f761acc-e550-4431-b9a9-9088099497a7,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-04,75.19979046947329,LocalBakery #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-f756da55-b2f4-421a-b302-6c9631bf3d8c,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-04,110.08322697469174,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-cd12201c-52e0-469e-b100-38c374854488,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-07,127.84057261354661,FineDining LLC #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-9ab997dd-21ed-4262-8983-78c65ed7134d,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-07,134.28027736806473,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-1e09b71c-2886-4fc4-92f9-d1c402cfd496,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-07,48.40404226696038,FineDining LLC #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-1dc193bf-c029-4abb-8675-5852d4870227,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-10,130.38250804255946,BeerBarn #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-65d55e6e-d6e9-4607-a3d2-1e3cd5966b43,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-11,67.86453625756477,FreshBites #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-c91f30ff-1195-4259-9228-5a217cb2f8d5,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-13,55.52689897052533,StarBite Cafe #5,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-49b63b1b-0fac-4ebf-84ef-2de586188ae7,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-14,114.44948991063765,BeerBarn #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-03d07bea-2985-4cc5-9b4a-e79afa39e85f,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-15,57.07489180325443,FreshBites #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-1684b35a-f1c3-4e49-acb2-886838efc060,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-15,87.11933718488687,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-90b6e2fb-f0e6-430a-b9de-502917e730fe,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-16,77.67114214976766,PetWorld #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-7733cc59-0703-494a-b52c-60a2794302e1,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-16,31.861420016184695,LocalBakery #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-ba59d03c-6280-4926-a117-0984f1b98223,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-16,-4414.10550621193,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-31c7b10c-f40f-4d09-9514-81796c72004e,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-17,257.43148112292226,GardenCenter #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-dbd10b44-65af-44de-9d4a-801334ad2fc4,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-17,127.6374845814553,StarBite Cafe #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-0a5ab08b-864e-4824-92f9-94dcf15122f4,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-17,65.59154389094428,FreshBites #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-4de0ee36-c8e9-4e1c-9b4e-01b0f432807c,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-22,93.31406609219445,StarBite Cafe #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-3f5ca1b7-0b9a-4e77-8048-1f9d3ce08c5f,acct-98f5ef93-4e16-4062-8c96-c35c6d749411,2025-06-24,14.491538575479435,BeerBarn #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-f5da9957-a8b6-4a06-b435-0edd3ca24f05,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-26,29.620981130299832,FineDining LLC #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-7db67482-9a27-4473-8197-7d905eeb1e3f,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-26,139.4136306207741,FineDining LLC #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-801f0405-1325-4f91-9b1f-e3acf77f6e0f,acct-c830cc1b-e76f-4f06-8864-d71e53290837,2025-06-26,118.6986514106567,StarBite Cafe #5,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
