transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-0c5cbbda-c60f-412b-b2a2-bfc39df08d68,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-09,96.7090349028544,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c018652c-b254-4678-a206-943c92403fa3,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-10,172.0336964372997,BookBarn #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-aa959b24-e818-439e-90a8-fb9928439528,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-10,105.39168238745218,FreshBites #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-00205993-c387-40cc-a97e-cf1ca74a148d,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-13,132.17592044436014,FineDining LLC #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-5550d8ff-15d5-4329-aba2-6219fc7122c8,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-14,93.76082212672152,SubscriptionBox #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-a69e3202-e18f-42db-be98-bae7da938421,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-14,22.689998862430294,OnlineMart #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-f9d01fdc-0981-4315-82b8-85e89d59fb04,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-15,84.27587864202088,CityMall Clothing #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-21549f94-322e-4d92-8bca-03fbcf686d5d,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-15,91.23228725871817,HardwarePro #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-f7827065-3239-43e4-9c2e-ea44ed888297,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-15,103.83249767726753,FineDining LLC #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-c3b719f5-e00d-41be-9d56-d59ad4f96cba,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-15,106.3300638083949,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-659cd44b-6cec-47c4-9ccf-0a63584537ea,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-17,225.2687307537313,SubscriptionBox #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-20a4f1c8-b67d-4744-80c8-7fde932e497c,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-18,95.08967374412983,eBookStore #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-3e7893ab-0af3-4706-80ad-4c8b8e17097f,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-19,23.894453529738932,FreshBites #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-9afa7cfe-8cd3-4a0a-9bc7-3dc6d0c5ede4,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-20,164.11414586049145,HardwarePro #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-a86ff2f1-07e1-4aae-9177-2c396b146694,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-21,121.93825505684109,BeerBarn #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-caea20de-4417-40d5-ba7b-90a07efa6c34,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-21,129.03143878160606,LocalBakery #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-7f3a24a5-75e4-40a7-ba7c-d58d109e2ce9,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-21,146.12365045664453,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-47c875e0-c11b-4431-a14a-9424683f8487,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-24,144.67029178843865,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-66b3ca8f-e2ac-4897-8865-cd2d625e6eee,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-26,112.82093825614955,LocalBakery #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-7bd71d85-69d1-46e6-866d-e89b61e1bc7c,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-30,216.2232620947005,CraftsOnline #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-69d24491-2e9b-4f18-a148-978cff2b5365,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-30,57.05840334976678,OfficeSupply Co #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-0b760272-2e6e-4713-be99-66d049a41b8f,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-30,109.73609211588447,StarBite Cafe #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-33a9f265-5ec6-4100-8633-873e9d61e00e,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-30,24.10353421567218,FineDining LLC #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-ee3d3c7d-6793-45e1-9df1-acdadae9a51a,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-31,121.0069057355559,CraftsOnline #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-ca447e9e-0c79-49db-81c4-b8e3896a6770,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-05-31,137.8790385611456,FreshBites #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-b5603a14-e7ae-48da-8a4d-adfbce1b2552,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-05-31,57.60840952472066,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-da0328fd-225d-4301-8768-d700d5ee6754,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-06-03,39.70141162845299,BeerBarn #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-6ab61afa-e98a-4fab-919c-2279d8de4fd9,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-06-04,288.2070307188142,HomeGoods Store #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-9c8df191-28d0-45c3-982f-db8311b4939e,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-06-04,143.98344055485,BeerBarn #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-2acdfba8-1a92-406c-985c-840ccf811553,acct-0827fa25-dc63-423a-895e-05cb2225a1af,2025-06-04,63.369441559308044,FineDining LLC #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-46f4d4db-59a3-4846-968a-aa6539de19b4,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-06-07,86.18087520478329,LocalBakery #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-62ea5f56-11ee-43a6-b3a4-5b41c6ef27b3,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-06-08,102.02253386079626,StarBite Cafe #5,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-a8238022-5c1c-4c32-869e-61d5f8a80d8f,acct-ebaf1471-5fd5-48f4-b605-b31868fb8b12,2025-06-10,185.9992423764459,DiscountOutlets #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
