transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-5e241f41-6fe9-4843-8aad-73dcc05bae93,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-07,1270.6811451559429,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-1fc700a2-f691-4d1b-9fbd-b604a48d2e22,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-09,101.37204104340339,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-dc6e0aee-25a7-41ef-813e-26f3d19dccf5,acct-7774f7f2-190e-4fa4-8310-4e9fb7895772,2025-05-14,83.49166735681406,eBookStore #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-e284824b-d506-4abe-a647-c158c74c3717,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-20,163.6243953719445,HardwarePro #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-0c840a9b-771a-42ec-a407-fabe197b9e3b,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-21,111.01964637440435,ElectroHub #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-03a7db0e-2d4b-459b-95c1-d34c457e3d65,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-24,769.944604838586,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-df85d91e-79dc-4761-9937-fccfe42d941b,acct-7774f7f2-190e-4fa4-8310-4e9fb7895772,2025-05-27,151.67607215845777,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-ff99b910-c1c8-4ca5-a4c8-c9423ede5e86,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-28,-5793.509369547424,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6193dac7-c2d0-4a2b-995f-a7bfcf018c6b,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-28,112.43687565548665,SubscriptionBox #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-83406759-a3f8-4751-ba42-f779bbc8e37f,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-05-31,724.3452922559848,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-f2738405-f44f-4395-b425-46aea803e691,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-06-06,163.69000313969957,ToyHouse #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-b808c516-268f-4dd5-ab7e-9a9560179421,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-06-09,-5690.894336676537,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-031898a5-1c5d-4d86-a175-858aa36b62df,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-06-11,66.55412851011961,HomeGoods Store #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-44925cc8-a293-46d3-bd3f-7560fcc0cefc,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-06-17,1619.222517431123,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-6ffa51fa-3928-4dce-8398-d05c7953ee50,acct-7774f7f2-190e-4fa4-8310-4e9fb7895772,2025-06-20,77.54335657688651,GardenCenter #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-61db0871-b359-47c9-a144-02ded6948e22,acct-35b60d04-0719-4d62-ac39-d06b935c342f,2025-07-18,1852.1091184591542,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
