transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-98b80931-9dba-4f79-904f-4df89fc5eeba,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-08,285.3336842832556,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-09959753-7b90-4f5b-822b-4aa53702005b,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-05-08,83.98712220629427,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-18f378c6-f5c8-4a0c-a366-7c7fea257fb2,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-05-09,86.16823022099871,ParkingLot Inc #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-9b761fbe-8996-4be8-8e7e-c159da05e66d,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-11,148.15545682878772,RideShareCo #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-2310a2b3-7953-418f-8efa-fe6fe4e5b85f,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-11,97.48246762230835,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-83bff50d-9ec6-4a71-a143-e93d9372a29d,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-12,-532.8596851188547,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b40bfe7b-b75a-4936-8854-f987da140494,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-14,143.43950765646338,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-813d374c-b8a5-4869-b3f2-1cbe15e9589f,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-05-15,378.11313447332066,PayUtilities #4,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-62666e47-5876-4944-9f75-fd557e38ed2c,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-15,48.891841839211615,QuickFuel #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-b7eb8ba8-75c1-491b-b7a2-1d37161f1a56,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-17,311.34163820202593,PayUtilities #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-2e4d0e1e-9248-424c-a2b2-e5a36ff8707f,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-05-17,38.72093758571924,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-1500530c-403e-49ed-92bf-de0280bc2c97,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-18,-3506.015920986545,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-246c3504-66ed-4d99-ae27-eed304c3e11a,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-21,80.1558747607439,PayUtilities #2,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-6bb670d0-bf1a-402a-ad30-950d79869483,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-22,-671.711653361612,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-105c9504-664f-4a61-bd95-ff8db08f5274,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-05-22,278.2412207409525,PayUtilities #1,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-a4ef7384-99ff-470c-9de8-95ffc801ca5c,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-25,-3895.9012893468703,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-677e2a77-99bc-4139-bde6-2bce7afee0c0,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-05-28,260.228048088596,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-9e754711-0d02-444b-a822-ad5a8e86a5e3,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-05-29,252.42649832582683,PayUtilities #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-e8fffb4a-72f5-41dd-9c67-07746aaa3821,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-04,-1063.1679925743497,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-cce8b41c-6d3a-4314-a735-5f9dede5f674,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-05,-1894.5544612556805,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-033044ed-0b20-4b2a-abe3-7fea40a1b6b8,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-05,231.74284131651427,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-898fdf03-a02f-419e-8e36-bdf2e4aeff85,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-06,-3442.8672181509996,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e9fc0b81-359b-48f4-a333-0e225219256b,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-06-07,341.79109873268726,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-41a4a3a3-e821-4aa6-98d6-5c7eb7f6e7d4,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-06-07,66.32169898436766,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-aab3e9f8-5934-43ba-9b11-bbf06ae37b4f,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-09,-3685.7928348312994,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-42dbdb33-5fb2-424a-b4e3-a5c5fc3466a2,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-10,-2554.793896307013,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c216a9d7-0c70-442d-854a-92b37ee3b1ef,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-06-14,348.0636280547749,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-124aa37c-a48f-4d09-b635-5527c1ef97f5,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-15,-621.1667054874754,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-fbe4c243-4b22-4344-84f0-d0477c43f1fc,acct-e61528ed-7662-489e-84b9-a93c81275ff3,2025-06-15,376.1082892874908,PayUtilities #2,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-61151a71-9b6a-4c0e-a1fe-f81c8f77b8fa,acct-824aa8b7-8581-455a-b49b-abe53a54f5b3,2025-06-20,137.60676823590046,QuickFuel #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
