transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-25d1e80b-d3a4-467b-8496-311ed4a735e0,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-05-15,183.68088666743563,PetWorld #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-e3c1214e-d030-4e04-8028-3dc49992efb5,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-05-15,129.65741006008858,HomeGoods Store #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-84b365d6-3cbd-4e1f-a7fc-0e4a4fb5d28c,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-05-17,85.28185498857337,eBookStore #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-205b4b37-7f1a-4a73-9512-b9b002a108c9,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-05-21,139.23754015905382,CraftsOnline #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-403e996d-8d24-4b54-a9f4-275ad54db9a6,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-05-23,902.8623899458559,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-bb161aab-1884-4b70-baf2-ffb4567ce33b,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-05-25,-5670.563559499997,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8311eef3-3287-4f7d-ab8d-5f7a14f7f566,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-05-28,120.63862960896351,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-35da4848-f8c0-46fe-b55b-a8a44d7418ff,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-06-01,142.39356456699147,CityMall Clothing #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-9ee90d9e-c163-4b6f-885f-3b56b1e1b04b,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-01,116.95790633813179,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-270e18a8-a686-494e-a420-c27687e6d527,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-08,944.1097508668656,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-7129cfc9-a6ed-44ca-9d9e-5cf7bbcae923,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-06-08,169.001403272856,CraftsOnline #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-6f463fbb-8b3e-4988-b177-9d08c4030692,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-08,156.29036373238756,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-34230562-c145-490e-88ae-7855b662f40b,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-06-09,98.21565651948403,CityMall Clothing #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-db22397c-487b-49e0-9de4-46bdbb266c99,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-10,136.9282249853187,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-5d0b8c82-d945-4095-8a43-02c3b16a0c0f,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-15,53.76516512527694,BookBarn #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-3a7f9e38-c2b4-4663-91d9-ca0b5517a319,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-06-19,87.2492512457089,ToyHouse #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-de2f01dc-da52-4008-86c2-d9090cc019cd,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-20,88.85008834535807,FurnitureCo #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-183ef3d1-e828-44f8-82d5-0e0ef5eb0990,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-06-22,1118.545546253069,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-92ae4639-9b52-4d70-9945-21c24b2c37aa,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-06-30,169.4720893167426,PetWorld #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-89329ceb-0500-466a-be6f-519dde800d09,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-07-02,93.86375580670548,SubscriptionBox #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-e6bcd573-0f66-40b8-ac2a-527cf67afe8a,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-07-04,63.71440407987051,OfficeSupply Co #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-1b99628a-dadd-4429-b95a-93c9e93f15e5,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-07-10,-5523.860137178641,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-73617510-ce20-42fe-a9db-858b097079c3,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-07-10,106.17491751498838,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-4f8f233d-7d5f-4a55-9e86-b74c544cbaed,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-07-12,-6134.000325606536,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-9941a8ca-ba38-4dd2-8d34-79183f15e09b,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-07-12,1531.5511721997548,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-db6ddd96-b05f-4ceb-8c01-2570e27d84bb,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-07-19,130.65298921678078,GardenCenter #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-47ad6332-a0e0-447d-974c-b96d76aea803,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-07-24,149.86737727671118,HomeGoods Store #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-616f3720-b507-4d43-b539-9aa7a676bc17,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-07-24,60.27676564053331,BookBarn #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-533458ff-8f6d-4c17-8f52-d3a41eeea503,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-07-24,166.40044422848035,eBookStore #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-e53993f5-fc03-4592-96e6-6a9f02d01661,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-07-30,186.49823990985456,ToyHouse #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-8eee4f69-cc55-47a7-95d4-cc86d227b331,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-03,132.4349056883491,BikeShop #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-c8c34c08-7176-4092-bd89-fff68236fd97,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-04,175.22678043450009,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-045ecd2c-3c08-4e65-abfe-af3c047c3b5d,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-05,-6443.006746181267,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-aa577443-ad8e-4095-b9bc-4eed8fd22252,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-07,118.3589155513429,ElectroHub #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-a4fef850-69e9-459e-a5b5-904f20b51587,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-12,126.8221961181792,LuxuryBoutique #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-b1ea262a-3400-48d9-a6de-b681a7345cff,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-13,-6139.734200277732,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-63b14902-9dce-4cda-b2e5-7f44c6feb613,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-21,-7987.399977332516,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d1a7c591-05d3-4f29-acc3-d7ed9d6161fc,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-22,174.00250417485074,ToyHouse #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-83b9c7bf-371f-4f15-a237-454ba5a55a92,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-08-26,102.63326868678493,HardwarePro #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-2c3c6fbb-5d97-45d6-b64d-237b57cf5d66,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-09-07,67.1270935417747,PetWorld #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-27962243-1688-482d-a812-97499d6fb7da,acct-5c420a1a-94b9-497e-9bb1-a7fa366bf25c,2025-09-09,179.0126701782249,CityMall Clothing #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-56c742f6-ac74-4386-9234-e3f7ba26462d,acct-1c623f62-d5f7-47d2-8416-b9ba9d626cb3,2025-09-11,676.880004081315,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
