transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-d781ef04-eee3-4777-89fc-39dbfa5a40ba,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-08,184.3729280336723,GardenCenter #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-65e99f85-e6e0-4b59-a172-4ffd17759582,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-13,1693.6127853479545,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-c62c0201-fabb-479d-81e5-b71f43fd4368,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-05-13,79.20105638307453,eBookStore #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-d954df99-88f2-4170-b72b-06192ef3f8c1,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-15,1127.5203845962787,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-16d43087-17f8-467b-ad39-437a8ef87b67,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-16,72.40470918990033,BikeShop #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-b4c3c46b-b8e0-468b-97d6-3e5cbad35d1a,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-05-16,116.24651378560088,GardenCenter #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-0733e2a4-6fc2-44f2-ae85-037eff650b79,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-25,194.66791166189802,BikeShop #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-2f951428-dbfd-4001-b246-fa0d22673910,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-26,51.37973667179434,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-63704138-a445-4922-8bb1-e850e438fc84,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-05-29,74.9587247516937,CityMall Clothing #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-eeda8eb3-65c7-4bb2-8ede-c25697232850,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-29,146.52600647724415,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-7cb9e0bb-d2d5-4219-b823-0fb6d8841b54,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-30,1873.2862634649716,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-35517140-e3a5-4819-9e3a-0aec5551f3b2,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-05-30,138.09430544034376,OfficeSupply Co #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-f80e05e7-3515-4eab-a5d2-49fabde91b6c,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-02,-6260.234486930607,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-318b1a51-d0e2-4de6-a994-5d9f359c3a29,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-06-12,162.17283555650033,GardenCenter #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-ad72d03a-a538-499a-8191-955cfdffcd5b,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-13,145.84539455472554,SubscriptionBox #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-39a03122-c1f3-4b7b-a79c-7d7f831ec387,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-15,1334.5440903876984,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-585c88c4-db17-47a3-807a-edf3fac97f30,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-19,1447.7632454886368,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-25287f1e-8e54-4f9f-8ddd-dd351147d9cc,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-19,60.132260109136055,ElectroHub #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-0485205c-75e3-433e-845a-fa3d413f46a8,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-06-25,130.18138351017,CraftsOnline #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-b870fdd8-0944-4373-b089-30e68eab1b7f,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-26,-5078.092579011527,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-5a53142a-fb70-439c-ac5c-203b69f47ccd,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-06-30,-7054.855252012714,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-dc3c6b5f-3088-4860-a595-1cc8015df5a9,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-06-30,89.71333498227139,HomeGoods Store #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-d863e7d9-dd42-4d1e-aba0-b3c23316d535,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-07-01,54.99124737685341,HomeGoods Store #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-099d056a-ff81-4bd3-862f-08ef119bf5c4,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-07-05,171.45325468086762,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-2d8e72f2-78f1-43a8-88f5-002b5de500de,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-07-08,-6331.869083001682,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7fd5d4cc-0c0d-41e1-8622-0e4036379bfb,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-07-11,96.30591078539037,OfficeSupply Co #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-3b0df451-a3a6-4179-a90a-aa0b77eba455,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-07-12,-7752.490967115457,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-be73009d-5aa2-45b0-b080-312d2b587968,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-07-12,85.798398253225,BookBarn #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-a6ff1c65-ad33-4b77-8f6a-2f4a0d820e0c,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-07-13,121.81357885037207,OfficeSupply Co #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-48dfd601-fca5-48df-a0aa-5867a4ec5075,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-07-15,1804.9112520735534,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-f2bdf056-3b87-4d14-8589-59da133c9066,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-07-30,957.464893318726,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-1f8b2be1-3a00-40d2-98c0-d5397c7dd665,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-07-30,129.61183415503203,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c17c8c84-0f82-4bb5-ad57-2319ba7f2d4c,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-08-07,156.75373207229916,CraftsOnline #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-5d08f5ff-36e2-45a6-9550-0ba37ffdb1e1,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-08,1662.7338971265842,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-a86b0ea5-ba42-45ef-a178-51c967827663,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-10,77.52854783901323,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-91d69da0-9873-45db-b139-5fa9d31991bb,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-08-11,145.62059136804154,BikeShop #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-2ec77206-0d40-49a6-bb6c-54f062ef1267,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-12,856.3291218409072,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-6f1969b2-8f2b-4289-a484-08050d370404,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-18,-7990.245774723533,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7b89fd2f-8b43-4de7-a7a3-d6200daa93a0,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-20,55.85939237149215,DiscountOutlets #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-f2b3694b-559c-43bb-8e90-dc0a2dabc5da,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-24,118.19681862053801,CraftsOnline #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-683cd33d-4a52-4599-8559-f85f467bff08,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-08-26,76.80937697265148,BikeShop #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-50f74d1c-33be-4075-b701-9956fa635d5f,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-28,71.02478969415233,CraftsOnline #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-071fb585-6dfa-4e67-9899-ef59a4444690,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-30,-6833.863482450314,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7f9cd7f0-c66c-4180-bf5d-8a32db8cdd5f,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-08-30,80.28740799733949,CityMall Clothing #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-b3fc5889-d586-4a33-8776-67175d84c80a,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-08-31,93.02218013540741,CraftsOnline #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-477a98cd-733d-4238-a147-f7682a36df94,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-03,175.14142983856004,CraftsOnline #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-f1f824f0-86b3-4980-b8a4-c306bc7d3366,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-07,66.5260657707583,SubscriptionBox #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-80b07268-ff5b-46de-bea4-55cc1c539b91,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-09,1012.7071577528441,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-699a6c74-d6d9-4af1-b107-9744ae716eff,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-09,108.77738319000063,HardwarePro #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-89f125a2-57b7-431c-b6d7-5a14ff83a456,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-09,181.8919414896694,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-eca9f786-76a0-43d3-8079-3fd5ac1323cf,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-21,-7041.59973658104,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-310ff9f1-cee2-4b57-9f4c-31fec88a3028,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-24,1126.3463674822801,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-f62a66f2-9c09-4b63-838e-06327dfca08d,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-27,-7531.910631274679,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4cea8941-e5ec-43e9-95d7-8eeb76f277ff,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-09-27,121.66704116765204,ToyHouse #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-846c3699-87c4-4af3-a5db-d0717cf009d8,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-09-28,111.92022766233649,CraftsOnline #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-3754bb6b-fe80-47c8-9ca8-db76491257f2,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-10-02,68.53300260430983,HomeGoods Store #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-df332a92-8386-4263-9f95-6033752e0618,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-10-13,53.43479055152674,CityMall Clothing #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-7b68888c-d3bd-406a-8e8c-8fd86358db98,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-10-14,70.74036345167939,FurnitureCo #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-fbd524de-b2fe-4bf9-8d3c-8204062dc3fc,acct-9349841a-59ea-4647-a704-8c095e0111b1,2025-10-18,99.88173408508369,eBookStore #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-3d677ac3-5c75-49aa-89d9-d6a0959038f5,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-10-23,173.384225239832,CraftsOnline #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-00188ddc-26c2-4204-8950-f5ebb270d30f,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-10-30,98.61574662444312,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-4431be90-9f93-4f5c-9058-e3cf9ab0c908,acct-4d7eab0e-b469-4ff1-9266-27b514cb6c78,2025-10-31,54.6007732179838,BikeShop #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
