transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-6eb77c6a-98c5-41c2-898a-2d620724f78c,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-09,95.89952123158702,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-91ab4b75-74c8-47e5-9b25-bdbfd3921cf9,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-10,135.34509023698837,CityTransit #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-bd485880-b133-4028-9014-5c28d80efa88,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-12,144.0506352802243,CityTransit #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-5d315787-7c3c-4fc3-9b08-fe9322a7319e,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-13,-1063.033504813946,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b1b5fc25-a2df-4651-988e-8d2607f278fd,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-05-17,387.0072231023642,PayUtilities #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-b46eb70a-25f0-440b-9f72-80fe9e0be569,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-05-18,130.2915794144763,RideShareCo #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-71de4ecf-37d8-444f-b1e5-93458622d801,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-20,-3884.317507372624,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b6b112bf-ee36-4095-8409-d457e05803c4,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-26,80.8702983896234,RideShareCo #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-e521ee8b-8c23-439f-b161-e0c2cfd83a32,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-05-26,128.25989886914797,ParkingLot Inc #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-3bc4fa89-a487-4d7c-b2dc-a0138ccc5bab,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-05-29,103.47482090813025,RideShareCo #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-97111563-509c-4460-9e55-a26fcaab1665,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-05-30,36.306844934503474,ParkingLot Inc #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-2c68103b-9105-4003-aca0-9f9e19e4ad73,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-05-31,137.4144625377068,ParkingLot Inc #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-b93086f4-220b-43fc-ae19-abf4f2baa6d4,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-06-01,145.60284913564806,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-bf171a4f-4194-421a-90e2-84286ed0bcf6,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-06-04,110.26799205133752,QuickFuel #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-bbb47ae2-8d19-44d7-a613-193d7c7d93bf,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-06-09,-1873.6296996914832,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-64e3ca47-d045-4962-b5ac-a18c3e4812ff,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-06-09,-970.827903131101,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7187254d-6574-4f43-9c06-ee66bf19a314,acct-809ac1fd-d528-4cfe-84cb-918fad86bda6,2025-06-09,-3630.0708104439886,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6530f351-1786-4116-826b-52b18abd0f0b,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-06-09,130.35979321250647,CityTransit #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-52845210-03b7-4160-bf16-7f333f8a7326,acct-eef1d83b-5a71-45a8-a2d3-d9577a9c903f,2025-06-11,118.47367107168478,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
